Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,170,0,Some Random Commen with Id 0
1,0,6,5,0,Some Random Commen with Id 1
2,0,6,19,3,Some Random Commen with Id 2
3,0,6,97,3,Some Random Commen with Id 3
4,0,6,158,7,Some Random Commen with Id 4
5,2,7,92,4,Some Random Commen with Id 5
6,2,7,102,0,Some Random Commen with Id 6
7,2,7,111,3,Some Random Commen with Id 7
8,2,7,82,1,Some Random Commen with Id 8
9,2,7,184,6,Some Random Commen with Id 9
10,2,7,1,7,Some Random Commen with Id 10
11,2,7,173,4,Some Random Commen with Id 11
12,2,7,116,1,Some Random Commen with Id 12
13,3,4,63,8,Some Random Commen with Id 13
14,3,4,168,5,Some Random Commen with Id 14
15,3,4,33,1,Some Random Commen with Id 15
16,3,4,130,1,Some Random Commen with Id 16
17,3,4,33,8,Some Random Commen with Id 17
18,3,4,24,5,Some Random Commen with Id 18
19,3,4,39,2,Some Random Commen with Id 19
20,5,8,76,0,Some Random Commen with Id 20
21,5,8,158,1,Some Random Commen with Id 21
22,6,5,164,7,Some Random Commen with Id 22
23,6,5,126,6,Some Random Commen with Id 23
24,6,5,163,6,Some Random Commen with Id 24
25,6,5,39,1,Some Random Commen with Id 25
26,6,5,187,5,Some Random Commen with Id 26
27,6,5,99,1,Some Random Commen with Id 27
28,6,5,65,9,Some Random Commen with Id 28
29,7,0,49,9,Some Random Commen with Id 29
30,7,0,114,6,Some Random Commen with Id 30
31,7,0,31,9,Some Random Commen with Id 31
32,7,0,175,2,Some Random Commen with Id 32
33,7,0,42,4,Some Random Commen with Id 33
34,7,0,106,3,Some Random Commen with Id 34
35,7,0,79,1,Some Random Commen with Id 35
36,7,0,130,6,Some Random Commen with Id 36
37,8,7,118,0,Some Random Commen with Id 37
38,8,7,130,8,Some Random Commen with Id 38
39,8,7,39,0,Some Random Commen with Id 39
40,8,7,130,6,Some Random Commen with Id 40
41,8,7,170,7,Some Random Commen with Id 41
42,8,7,174,8,Some Random Commen with Id 42
43,8,7,168,2,Some Random Commen with Id 43
44,9,3,20,7,Some Random Commen with Id 44
45,9,3,66,5,Some Random Commen with Id 45
46,9,3,97,0,Some Random Commen with Id 46
47,9,3,22,4,Some Random Commen with Id 47
48,9,3,142,0,Some Random Commen with Id 48
49,9,3,14,5,Some Random Commen with Id 49
50,9,3,166,3,Some Random Commen with Id 50
51,9,3,25,5,Some Random Commen with Id 51
52,9,3,88,1,Some Random Commen with Id 52
53,10,4,96,0,Some Random Commen with Id 53
54,10,4,136,7,Some Random Commen with Id 54
55,12,9,38,7,Some Random Commen with Id 55
56,12,9,117,3,Some Random Commen with Id 56
57,12,9,83,4,Some Random Commen with Id 57
58,13,8,30,6,Some Random Commen with Id 58
59,14,2,155,8,Some Random Commen with Id 59
60,14,2,10,8,Some Random Commen with Id 60
61,14,2,43,3,Some Random Commen with Id 61
62,14,2,82,6,Some Random Commen with Id 62
63,14,2,152,2,Some Random Commen with Id 63
64,15,0,77,1,Some Random Commen with Id 64
65,15,0,137,1,Some Random Commen with Id 65
66,15,0,177,2,Some Random Commen with Id 66
67,15,0,10,5,Some Random Commen with Id 67
68,15,0,30,2,Some Random Commen with Id 68
69,15,0,9,5,Some Random Commen with Id 69
70,15,0,74,4,Some Random Commen with Id 70
71,15,0,72,9,Some Random Commen with Id 71
72,15,0,73,0,Some Random Commen with Id 72
73,16,0,85,6,Some Random Commen with Id 73
74,17,1,67,4,Some Random Commen with Id 74
75,17,1,134,1,Some Random Commen with Id 75
76,18,3,147,7,Some Random Commen with Id 76
77,18,3,52,4,Some Random Commen with Id 77
78,18,3,193,6,Some Random Commen with Id 78
79,18,3,137,6,Some Random Commen with Id 79
80,19,8,172,5,Some Random Commen with Id 80
81,20,1,166,8,Some Random Commen with Id 81
82,20,1,115,0,Some Random Commen with Id 82
83,20,1,152,4,Some Random Commen with Id 83
84,20,1,161,1,Some Random Commen with Id 84
85,20,1,17,9,Some Random Commen with Id 85
86,20,1,156,0,Some Random Commen with Id 86
87,20,1,92,0,Some Random Commen with Id 87
88,21,4,140,1,Some Random Commen with Id 88
89,21,4,61,4,Some Random Commen with Id 89
90,21,4,128,6,Some Random Commen with Id 90
91,21,4,173,9,Some Random Commen with Id 91
92,21,4,21,1,Some Random Commen with Id 92
93,21,4,117,4,Some Random Commen with Id 93
94,21,4,180,7,Some Random Commen with Id 94
95,21,4,161,3,Some Random Commen with Id 95
96,22,8,145,7,Some Random Commen with Id 96
97,22,8,13,9,Some Random Commen with Id 97
98,22,8,74,2,Some Random Commen with Id 98
99,22,8,74,7,Some Random Commen with Id 99
100,22,8,34,9,Some Random Commen with Id 100
101,22,8,56,2,Some Random Commen with Id 101
102,23,2,8,5,Some Random Commen with Id 102
103,23,2,164,9,Some Random Commen with Id 103
104,23,2,180,1,Some Random Commen with Id 104
